country,date,elo_rating
Albania,2024-03-22,1617
Albania,2024-03-25,1612
Albania,2024-06-03,1613
Albania,2024-06-07,1623
Albania,2024-06-15,1616
Albania,2024-06-19,1634
Albania,2024-06-24,1630
Albania,2024-09-07,1660
Albania,2024-09-10,1638
Albania,2024-10-11,1623
Albania,2024-10-14,1654
Albania,2024-11-16,1653
Albania,2024-11-19,1635
Albania,2025-11-16,1664
Algeria,2024-01-05,1730
Algeria,2024-01-09,1733
Algeria,2024-01-15,1715
Algeria,2024-01-20,1706
Algeria,2024-01-23,1662
Algeria,2024-03-22,1671
Algeria,2024-03-26,1663
Algeria,2024-06-06,1629
Algeria,2024-06-10,1641
Algeria,2024-09-05,1656
Algeria,2024-09-10,1668
Algeria,2024-10-10,1675
Algeria,2024-10-14,1684
Algeria,2024-11-14,1681
Algeria,2024-11-17,1685
Algeria,2025-06-10,1704
Algeria,2025-11-18,1718
Algeria,2025-12-06,1714
Algeria,2025-12-09,1736
Algeria,2025-12-12,1726
Algeria,2025-12-24,1735
Algeria,2025-12-28,1749
Algeria,2025-12-31,1757
Algeria,2026-01-06,1775
Algeria,2026-01-10,1728
Algeria,2026-03-27,1739
Algeria,2026-03-31,1743
Andorra,2024-03-21,1115
Andorra,2024-03-25,1113
Andorra,2024-06-05,1113
Andorra,2024-06-11,1110
Andorra,2024-09-04,1101
Andorra,2024-09-10,1083
Andorra,2024-10-10,1077
Andorra,2024-10-13,1080
Andorra,2024-11-16,1069
Andorra,2024-11-19,1083
Andorra,2025-06-07,1066
Andorra,2025-09-06,1066
Angola,2024-01-06,1388
Angola,2024-01-10,1408
Angola,2024-01-15,1426
Angola,2024-01-20,1448
Angola,2024-01-23,1500
Angola,2024-01-27,1532
Angola,2024-02-02,1515
Angola,2024-03-22,1513
Angola,2024-03-25,1507
Angola,2024-06-07,1511
Angola,2024-06-11,1509
Angola,2024-06-28,1502
Angola,2024-07-01,1503
Angola,2024-07-03,1514
Angola,2024-07-05,1525
Angola,2024-07-07,1551
Angola,2024-09-05,1576
Angola,2024-09-09,1583
Angola,2024-10-11,1587
Angola,2024-10-15,1592
Angola,2024-11-15,1580
Angola,2024-11-18,1570
Angola,2025-11-14,1566
Angola,2025-12-22,1550
Angola,2025-12-29,1543
Argentina,2024-03-22,2139
Argentina,2024-03-26,2140
Argentina,2024-06-09,2144
Argentina,2024-06-14,2145
Argentina,2024-06-20,2151
Argentina,2024-06-25,2155
Argentina,2024-06-29,2161
Argentina,2024-07-04,2143
Argentina,2024-07-09,2150
Argentina,2024-07-14,2169
Argentina,2024-09-05,2172
Argentina,2024-09-10,2150
Argentina,2024-10-10,2137
Argentina,2024-10-15,2140
Argentina,2024-11-14,2106
Argentina,2024-11-19,2108
Argentina,2025-03-25,2141
Argentina,2025-06-05,2146
Argentina,2025-06-10,2132
Argentina,2025-09-04,2136
Argentina,2025-09-09,2109
Argentina,2025-10-10,2111
Argentina,2025-10-14,2111
Argentina,2025-11-14,2113
Argentina,2026-03-27,2113
Argentina,2026-03-31,2113
Armenia,2024-03-22,1457
Armenia,2024-03-26,1455
Armenia,2024-06-04,1453
Armenia,2024-06-07,1461
Armenia,2024-09-07,1475
Armenia,2024-09-10,1458
Armenia,2024-10-10,1452
Armenia,2024-10-13,1424
Armenia,2024-11-14,1391
Armenia,2024-11-17,1411
Armenia,2025-09-06,1384
Armenia,2025-11-16,1389
Australia,2024-01-06,1787
Australia,2024-01-13,1790
Australia,2024-01-18,1796
Australia,2024-01-23,1786
Australia,2024-01-28,1791
Australia,2024-02-02,1764
Australia,2024-03-21,1766
Australia,2024-03-26,1769
Australia,2024-06-06,1770
Australia,2024-06-11,1775
Australia,2024-09-05,1738
Australia,2024-09-10,1724
Australia,2024-10-10,1728
Australia,2024-10-15,1741
Australia,2024-11-14,1728
Australia,2024-11-19,1718
Australia,2025-06-05,1758
Australia,2025-06-10,1775
Australia,2025-09-05,1778
Australia,2025-09-09,1790
Australia,2025-10-10,1803
Australia,2025-10-14,1793
Australia,2025-11-14,1781
Australia,2025-11-18,1773
Australia,2026-03-27,1778
Australia,2026-03-31,1782
Austria,2024-03-23,1847
Austria,2024-03-26,1857
Austria,2024-06-04,1862
Austria,2024-06-08,1863
Austria,2024-06-17,1852
Austria,2024-06-21,1877
Austria,2024-06-25,1910
Austria,2024-07-02,1876
Austria,2024-09-06,1876
Austria,2024-09-09,1853
Austria,2024-10-10,1857
Austria,2024-10-13,1876
Austria,2024-11-14,1884
Austria,2024-11-17,1871
Austria,2025-06-07,1845
Austria,2025-06-10,1845
Austria,2025-09-06,1846
Austria,2025-09-09,1855
Austria,2025-10-09,1855
Austria,2025-10-12,1829
Austria,2025-11-15,1834
Austria,2025-11-18,1818
Austria,2026-03-27,1821
Austria,2026-03-31,1827
Azerbaijan,2024-03-22,1497
Azerbaijan,2024-03-25,1492
Azerbaijan,2024-06-07,1482
Azerbaijan,2024-06-11,1491
Azerbaijan,2024-09-05,1468
Azerbaijan,2024-09-08,1460
Azerbaijan,2024-10-11,1430
Azerbaijan,2024-10-14,1413
Azerbaijan,2024-11-16,1405
Azerbaijan,2024-11-19,1398
Azerbaijan,2025-10-10,1366
Azerbaijan,2025-11-16,1339
Bahrain,2024-01-06,1445
Bahrain,2024-01-10,1425
Bahrain,2024-01-15,1417
Bahrain,2024-01-20,1433
Bahrain,2024-01-25,1466
Bahrain,2024-01-31,1459
Bahrain,2024-03-21,1461
Bahrain,2024-03-26,1463
Bahrain,2024-06-06,1446
Bahrain,2024-06-11,1455
Bahrain,2024-09-05,1492
Bahrain,2024-09-10,1478
Bahrain,2024-10-10,1467
Bahrain,2024-10-15,1478
Bahrain,2024-11-14,1448
Bahrain,2024-11-19,1458
Bahrain,2024-12-22,1483
Bahrain,2024-12-25,1528
Bahrain,2024-12-28,1491
Bahrain,2024-12-31,1509
Bahrain,2025-09-03,1453
Bahrain,2025-12-03,1400
Bahrain,2025-12-06,1389
Belarus,2024-03-21,1457
Belarus,2024-03-26,1454
Belarus,2024-06-07,1446
Belarus,2024-06-11,1433
Belarus,2024-09-05,1436
Belarus,2024-09-08,1464
Belarus,2024-10-12,1467
Belarus,2024-10-15,1467
Belarus,2024-11-15,1451
Belarus,2024-11-18,1459
Belarus,2025-09-08,1475
Belarus,2025-10-12,1464
Belgium,2024-03-23,1983
Belgium,2024-03-26,1986
Belgium,2024-06-05,1987
Belgium,2024-06-08,1988
Belgium,2024-06-17,1945
Belgium,2024-06-22,1961
Belgium,2024-06-26,1951
Belgium,2024-07-01,1934
Belgium,2024-09-06,1940
Belgium,2024-09-09,1923
Belgium,2024-10-10,1930
Belgium,2024-10-14,1909
Belgium,2024-11-14,1885
Belgium,2024-11-17,1850
Belgium,2025-06-06,1836
Belgium,2025-06-09,1846
Belgium,2025-09-04,1847
Belgium,2025-09-07,1850
Belgium,2025-10-10,1835
Belgium,2025-10-13,1864
Belgium,2025-11-15,1849
Belgium,2025-11-18,1849
Belgium,2026-03-28,1866
Belgium,2026-03-31,1866
Benin,2024-03-23,1348
Benin,2024-03-26,1346
Benin,2024-06-06,1365
Benin,2024-06-10,1397
Benin,2024-09-07,1386
Benin,2024-09-10,1407
Benin,2024-10-11,1437
Benin,2024-10-15,1416
Benin,2024-11-14,1425
Benin,2024-11-18,1429
Benin,2025-12-23,1421
Benin,2025-12-30,1428
Benin,2026-01-05,1410
Bermuda,2024-03-22,1149
Bermuda,2024-03-25,1141
Bermuda,2024-06-05,1139
Bermuda,2024-06-09,1124
Bermuda,2024-09-07,1109
Bermuda,2024-09-10,1126
Bermuda,2024-10-12,1144
Bermuda,2024-10-15,1152
Bermuda,2024-11-16,1160
Bermuda,2024-11-19,1142
Bermuda,2025-09-09,1150
Bermuda,2025-11-13,1103
Bermuda,2026-03-25,1119
Bolivia,2024-03-22,1602
Bolivia,2024-03-25,1604
Bolivia,2024-05-31,1599
Bolivia,2024-06-12,1594
Bolivia,2024-06-15,1591
Bolivia,2024-06-23,1580
Bolivia,2024-06-27,1572
Bolivia,2024-07-01,1550
Bolivia,2024-09-05,1605
Bolivia,2024-09-10,1636
Bolivia,2024-10-10,1671
Bolivia,2024-10-15,1668
Bolivia,2024-11-14,1657
Bolivia,2024-11-19,1658
Bolivia,2025-09-04,1657
Bolivia,2025-09-09,1689
Bolivia,2025-11-14,1681
Bolivia,2025-11-18,1676
Bolivia,2026-01-18,1665
Bolivia,2026-01-25,1657
Bolivia,2026-03-31,1645
Bosnia and Herzegovina,2024-03-21,1478
Bosnia and Herzegovina,2024-06-03,1477
Bosnia and Herzegovina,2024-06-09,1476
Bosnia and Herzegovina,2024-09-07,1474
Bosnia and Herzegovina,2024-09-10,1491
Bosnia and Herzegovina,2024-10-11,1487
Bosnia and Herzegovina,2024-10-14,1472
Bosnia and Herzegovina,2024-11-16,1469
Bosnia and Herzegovina,2024-11-19,1485
Bosnia and Herzegovina,2025-06-07,1526
Bosnia and Herzegovina,2025-06-10,1523
Bosnia and Herzegovina,2025-09-06,1526
Bosnia and Herzegovina,2025-09-09,1517
Bosnia and Herzegovina,2025-10-09,1511
Bosnia and Herzegovina,2025-10-12,1521
Bosnia and Herzegovina,2025-11-15,1556
Bosnia and Herzegovina,2025-11-18,1572
Bosnia and Herzegovina,2026-03-26,1584
Bosnia and Herzegovina,2026-03-31,1594
Botswana,2024-01-08,1344
Botswana,2024-03-22,1342
Botswana,2024-03-25,1339
Botswana,2024-06-07,1326
Botswana,2024-06-10,1331
Botswana,2024-06-26,1325
Botswana,2024-06-29,1340
Botswana,2024-07-02,1315
Botswana,2024-08-31,1310
Botswana,2024-09-07,1297
Botswana,2024-09-10,1283
Botswana,2024-10-10,1319
Botswana,2024-10-15,1344
Botswana,2024-11-15,1338
Botswana,2024-11-19,1355
Botswana,2025-12-23,1312
Botswana,2025-12-30,1285
Brazil,2024-03-23,2024
Brazil,2024-03-26,2027
Brazil,2024-06-08,2031
Brazil,2024-06-12,2027
Brazil,2024-06-24,2006
Brazil,2024-06-28,2019
Brazil,2024-07-02,2020
Brazil,2024-07-06,2020
Brazil,2024-09-06,2028
Brazil,2024-09-10,1996
Brazil,2024-10-10,2005
Brazil,2024-10-15,2013
Brazil,2024-11-14,2005
Brazil,2024-11-19,1996
Brazil,2025-03-25,1993
Brazil,2025-06-05,1994
Brazil,2025-06-10,2001
Brazil,2025-09-04,2007
Brazil,2025-09-09,1975
Brazil,2025-10-10,1989
Brazil,2025-10-14,1978
Brazil,2025-11-15,1986
Brazil,2025-11-18,1978
Brazil,2026-03-26,1970
Brazil,2026-03-31,1984
Bulgaria,2024-03-22,1468
Bulgaria,2024-03-25,1473
Bulgaria,2024-06-04,1480
Bulgaria,2024-06-08,1488
Bulgaria,2024-09-05,1485
Bulgaria,2024-09-08,1502
Bulgaria,2024-10-12,1494
Bulgaria,2024-10-15,1468
Bulgaria,2024-11-15,1494
Bulgaria,2024-11-18,1486
Bulgaria,2025-09-04,1450
Bulgaria,2025-10-11,1429
Bulgaria,2025-10-14,1428
Bulgaria,2025-11-15,1425
Burkina Faso,2024-01-05,1562
Burkina Faso,2024-01-10,1570
Burkina Faso,2024-01-16,1584
Burkina Faso,2024-01-20,1593
Burkina Faso,2024-01-23,1541
Burkina Faso,2024-01-30,1522
Burkina Faso,2024-03-22,1508
Burkina Faso,2024-03-26,1501
Burkina Faso,2024-06-06,1493
Burkina Faso,2024-06-10,1483
Burkina Faso,2024-09-06,1499
Burkina Faso,2024-09-10,1512
Burkina Faso,2024-10-10,1529
Burkina Faso,2024-10-13,1541
Burkina Faso,2024-11-14,1532
Burkina Faso,2024-11-18,1481
Burkina Faso,2025-12-28,1551
Burkina Faso,2026-01-06,1534
Cameroon,2024-01-09,1613
Cameroon,2024-01-15,1602
Cameroon,2024-01-19,1579
Cameroon,2024-01-23,1590
Cameroon,2024-01-27,1555
Cameroon,2024-06-08,1582
Cameroon,2024-06-11,1584
Cameroon,2024-09-07,1590
Cameroon,2024-09-10,1577
Cameroon,2024-10-11,1591
Cameroon,2024-10-14,1602
Cameroon,2024-11-13,1588
Cameroon,2024-11-19,1594
Cameroon,2025-09-09,1579
Cameroon,2025-11-13,1559
Cameroon,2025-12-28,1581
Cameroon,2026-01-04,1616
Cameroon,2026-01-09,1606
Cameroon,2026-03-27,1601
Canada,2024-03-23,1715
Canada,2024-06-06,1711
Canada,2024-06-09,1720
Canada,2024-06-20,1714
Canada,2024-06-25,1741
Canada,2024-06-29,1740
Canada,2024-07-05,1746
Canada,2024-07-09,1739
Canada,2024-07-13,1755
Canada,2024-09-07,1768
Canada,2024-09-10,1769
Canada,2024-10-15,1775
Canada,2024-11-15,1781
Canada,2024-11-19,1784
Canada,2025-06-21,1778
Canada,2025-06-24,1784
Canada,2025-06-29,1768
Canada,2025-09-05,1786
Canada,2025-09-09,1797
Canada,2025-10-10,1784
Canada,2025-10-14,1789
Canada,2025-11-13,1790
Canada,2025-11-18,1802
Canada,2026-03-28,1794
Canada,2026-03-31,1784
Cape Verde,2024-01-10,1475
Cape Verde,2024-01-14,1505
Cape Verde,2024-01-19,1534
Cape Verde,2024-01-22,1542
Cape Verde,2024-01-29,1558
Cape Verde,2024-02-03,1559
Cape Verde,2024-03-21,1564
Cape Verde,2024-03-25,1579
Cape Verde,2024-06-08,1552
Cape Verde,2024-06-11,1560
Cape Verde,2024-09-06,1541
Cape Verde,2024-09-10,1551
Cape Verde,2024-10-10,1515
Cape Verde,2024-10-15,1490
Cape Verde,2024-11-15,1495
Cape Verde,2024-11-19,1472
Cape Verde,2025-06-03,1511
Cape Verde,2025-06-08,1518
Cape Verde,2025-09-04,1526
Cape Verde,2025-09-09,1544
Cape Verde,2025-10-08,1543
Cape Verde,2025-10-13,1549
Cape Verde,2025-11-13,1557
Cape Verde,2025-11-17,1561
Cape Verde,2026-03-27,1549
Cape Verde,2026-03-30,1549
Central African Republic,2024-03-22,1304
Central African Republic,2024-03-25,1317
Central African Republic,2024-06-05,1330
Central African Republic,2024-06-10,1324
Central African Republic,2024-09-05,1346
Central African Republic,2024-09-10,1331
Central African Republic,2024-10-12,1328
Central African Republic,2024-10-15,1325
Central African Republic,2024-11-14,1298
Central African Republic,2024-11-18,1285
Central African Republic,2025-10-08,1217
Chad,2024-03-22,1169
Chad,2024-03-26,1187
Chad,2024-06-05,1174
Chad,2024-06-11,1153
Chad,2024-09-06,1162
