country,date,ranking,points
Albania,2024-02-15,64,1382.69
Albania,2024-04-04,66,1375.10
Albania,2024-10-24,65,1379.29
Albania,2025-10-17,61,1401.34
Algeria,2024-02-15,43,1480.24
Algeria,2024-04-04,43,1482.71
Algeria,2024-10-24,37,1496.94
Algeria,2025-04-03,36,1507.17
Algeria,2025-10-17,35,1510.26
Algeria,2025-11-19,35,1516.37
Algeria,2025-12-22,34,1517.68
Algeria,2026-01-19,28,1560.91
Andorra,2024-02-15,164,998.00
Andorra,2024-04-04,164,998.75
Andorra,2024-10-24,170,977.96
Andorra,2025-04-03,173,957.41
Andorra,2025-07-10,174,953.95
Angola,2024-02-15,93,1238.11
Angola,2024-04-04,94,1235.76
Angola,2024-10-24,82,1298.75
Angola,2025-10-17,89,1267.45
Angola,2025-12-22,89,1271.54
Argentina,2024-02-15,1,1855.20
Argentina,2024-04-04,1,1858.00
Argentina,2024-10-24,1,1883.50
Argentina,2024-12-19,1,1867.25
Argentina,2025-04-03,1,1886.16
Argentina,2025-07-10,1,1885.36
Argentina,2025-09-18,3,1870.32
Argentina,2025-10-17,2,1872.43
Argentina,2026-01-19,2,1873.33
Armenia,2024-02-15,94,1237.15
Armenia,2024-04-04,95,1229.18
Armenia,2024-10-24,99,1222.74
Armenia,2025-07-10,105,1204.78
Armenia,2025-10-17,104,1204.7
Australia,2024-02-15,23,1554.82
Australia,2024-04-04,24,1563.93
Australia,2024-10-24,24,1552.77
Australia,2025-04-03,26,1554.55
Australia,2025-07-10,24,1578.57
Australia,2025-09-18,25,1583.49
Australia,2025-10-17,25,1584.02
Australia,2026-01-19,27,1574.01
Austria,2024-02-15,25,1546.10
Austria,2024-04-04,25,1554.86
Austria,2024-10-24,23,1589.17
Austria,2025-04-03,22,1580.22
Austria,2025-07-10,22,1591.24
Austria,2025-09-18,22,1601.86
Austria,2025-10-17,24,1586.98
Austria,2026-01-19,24,1585.51
Azerbaijan,2024-02-15,113,1174.22
Azerbaijan,2024-04-04,112,1177.83
Azerbaijan,2024-10-24,118,1161.80
Azerbaijan,2025-09-18,124,1148.09
Azerbaijan,2025-10-17,123,1142.25
Bahrain,2024-02-15,82,1297.32
Bahrain,2024-04-04,80,1307.53
Bahrain,2024-10-24,76,1313.80
Bahrain,2025-07-10,89,1266.96
Bahrain,2025-11-19,91,1258.68
Belarus,2024-02-15,95,1232.80
Belarus,2024-04-04,96,1226.54
Belarus,2024-10-24,97,1231.10
Belarus,2025-07-10,97,1237.24
Belarus,2025-09-18,100,1223.54
Belgium,2024-02-15,4,1798.46
Belgium,2024-04-04,3,1795.23
Belgium,2024-10-24,6,1761.27
Belgium,2025-04-03,8,1735.75
Belgium,2025-07-10,8,1736.38
Belgium,2025-09-18,8,1739.54
Belgium,2025-10-17,8,1740.01
Belgium,2026-01-19,9,1730.71
Benin,2024-02-15,98,1225.10
Benin,2024-04-04,97,1225.68
Benin,2024-10-24,95,1250.97
Benin,2025-12-22,92,1255.72
Bermuda,2024-02-15,171,972.36
Bermuda,2024-04-04,170,974.30
Bermuda,2024-10-24,167,986.53
Bermuda,2025-07-10,162,1000.04
Bermuda,2025-10-17,168,976.75
Bermuda,2026-01-19,169,976.87
Bolivia,2024-02-15,86,1284.55
Bolivia,2024-04-04,85,1283.88
Bolivia,2024-10-24,79,1312.36
Bolivia,2025-07-10,78,1315.71
Bolivia,2025-10-17,76,1334.55
Bolivia,2025-12-22,76,1329.56
Bolivia,2026-01-19,76,1330.52
Bosnia and Herzegovina,2024-02-15,71,1343.32
Bosnia and Herzegovina,2024-04-04,74,1335.60
Bosnia and Herzegovina,2024-10-24,74,1324.43
Bosnia and Herzegovina,2025-04-03,70,1350.85
Bosnia and Herzegovina,2025-07-10,72,1349.11
Bosnia and Herzegovina,2025-09-18,73,1344.25
Bosnia and Herzegovina,2025-10-17,75,1341.36
Bosnia and Herzegovina,2026-01-19,71,1362.37
Botswana,2024-02-15,146,1064.50
Botswana,2024-04-04,146,1065.07
Botswana,2024-10-24,140,1088.45
Botswana,2025-12-22,138,1084.56
Brazil,2024-02-15,5,1784.09
Brazil,2024-04-04,5,1788.65
Brazil,2024-10-24,5,1784.37
Brazil,2024-12-19,5,1775.85
Brazil,2025-04-03,5,1776.03
Brazil,2025-07-10,5,1777.69
Brazil,2025-09-18,6,1761.6
Brazil,2025-10-17,7,1758.85
Brazil,2026-01-19,5,1760.46
Bulgaria,2024-02-15,83,1289.90
Bulgaria,2024-04-04,83,1292.59
Bulgaria,2024-10-24,84,1295.11
Bulgaria,2025-07-10,84,1284.42
Bulgaria,2025-09-18,86,1271.52
Bulgaria,2025-10-17,91,1263.07
Burkina Faso,2024-02-15,61,1399.92
Burkina Faso,2024-04-04,62,1390.38
Burkina Faso,2024-10-24,62,1399.80
Burkina Faso,2025-12-22,62,1404.81
Cameroon,2024-02-15,51,1452.59
Cameroon,2024-04-04,51,1452.59
Cameroon,2024-10-24,49,1472.12
Cameroon,2025-07-10,51,1466.97
Cameroon,2025-10-17,54,1453.71
Cameroon,2025-12-22,57,1440.43
Cameroon,2026-01-19,45,1482.39
Canada,2024-02-15,50,1453.76
Canada,2024-04-04,49,1461.16
Canada,2024-10-24,35,1507.27
Canada,2025-04-03,30,1531.58
Canada,2025-07-10,28,1548.94
Canada,2025-09-18,26,1558.04
Canada,2025-10-17,28,1554.63
Canada,2026-01-19,29,1559.15
Cape Verde,2024-02-15,65,1377.06
Cape Verde,2024-04-04,65,1383.44
Cape Verde,2024-10-24,72,1340.87
Cape Verde,2025-04-03,72,1344.37
Cape Verde,2025-07-10,73,1343.68
Cape Verde,2025-09-18,70,1363.21
Cape Verde,2025-10-17,71,1364.26
Cape Verde,2026-01-19,67,1370.49
Central African Republic,2024-02-15,129,1121.34
Central African Republic,2024-04-04,128,1128.17
Central African Republic,2024-10-24,129,1125.26
Central African Republic,2025-09-18,140,1081.36
Chad,2024-02-15,181,920.37
Chad,2024-04-04,176,945.92
Chad,2024-10-24,177,933.39
Chad,2025-07-10,175,924.6
Chile,2024-02-15,42,1489.82
Chile,2024-04-04,42,1491.71
Chile,2024-10-24,53,1455.22
Chile,2025-04-03,52,1461.91
Chile,2025-07-10,57,1441.62
Chile,2026-01-19,55,1457.84
China PR,2024-02-15,88,1273.78
